N1,N2,N3,N4,N5,userLevelByHuman
0.4,0.001,0.0,0.271,0.0,0
0.2,0.001,0.101,0.0,0.0,0
0.0,0.299,0.001,0.001,0.0,0
0.201,0.0,0.1,0.0,0.001,0
0.201,0.0,0.099,0.0,0.0,0
0.27,0.0,0.001,0.001,0.001,0
0.001,0.3,0.001,0.001,0.0,0
0.0,0.3,0.0,0.001,0.0,0
0.001,0.399,0.0,0.001,0.001,0
0.2,0.001,0.10200000000000001,0.0,0.001,0
0.001,0.3,0.001,0.001,0.0,0
0.0,0.401,0.0,0.0,0.001,0
0.4,0.0,0.0,0.27,0.0,0
0.0,0.3,0.001,0.001,0.001,0
0.27,0.001,0.0,0.0,0.001,0
0.001,0.299,0.001,0.001,0.0,0
0.201,0.002,0.1,0.0,0.0,0
0.199,0.001,0.10200000000000001,0.0,0.001,0
0.0,0.399,0.0,0.0,0.001,0
0.001,0.3,0.0,0.0,0.0,0
0.399,0.0,0.0,0.27,0.0,0
0.401,0.004,0.0,0.27,0.0,0
0.202,0.001,0.1,0.0,0.0,0
0.2,0.001,0.10300000000000001,0.0,0.001,0
0.201,0.002,0.1,0.0,0.001,0
0.001,0.3,0.001,0.001,0.001,0
0.201,0.001,0.101,0.0,0.001,0
0.0,0.401,0.0,0.0,0.001,0
0.0,0.3,0.001,0.0,0.001,0
0.0,0.3,0.001,0.0,0.001,0
0.4,0.0,0.0,0.27,0.001,0
0.199,0.001,0.101,0.0,0.0,0
0.0,0.4,0.0,0.0,0.001,0
0.201,0.001,0.099,0.0,0.001,0
0.2,0.002,0.101,0.0,0.0,0
0.0,0.299,0.0,0.002,0.0,0
0.269,0.0,0.0,0.001,0.001,0
0.001,0.3,0.002,0.001,0.001,0
0.27,0.001,0.0,0.001,0.0,0
0.27,0.001,0.001,0.0,0.0,0
0.2,0.001,0.101,0.0,0.001,0
0.0,0.299,0.001,0.001,0.0,0
0.399,0.0,0.0,0.27,0.0,0
0.001,0.4,0.0,0.0,0.002,0
0.401,0.002,0.0,0.27,0.0,0
0.2,0.0,0.1,0.0,0.0,0
0.201,0.0,0.099,0.0,0.001,0
0.0,0.401,0.0,0.0,0.001,0
0.202,0.001,0.099,0.0,0.0,0
0.001,0.4,0.0,0.0,0.002,0
0.401,0.003,0.0,0.27,0.001,0
0.201,0.001,0.099,0.0,0.001,0
0.001,0.3,0.002,0.001,0.0,0
0.27,0.0,0.0,0.0,0.001,0
0.201,0.001,0.101,0.0,0.001,0
0.0,0.3,0.001,0.001,0.0,0
0.2,0.002,0.101,0.0,0.0,0
0.27,0.001,0.0,0.001,0.002,0
0.401,0.002,0.0,0.271,0.0,0
0.399,0.0,0.0,0.271,0.0,0
0.4,0.001,0.0,0.27,0.0,0
0.2,0.002,0.101,0.0,0.0,0
0.199,0.0,0.101,0.0,0.0,0
0.0,0.299,0.001,0.0,0.0,0
0.2,0.002,0.101,0.001,0.0,0
0.0,0.4,0.0,0.001,0.001,0
0.0,0.402,0.0,0.0,0.0,0
0.001,0.4,0.0,0.001,0.002,0
0.4,0.0,0.0,0.27,0.0,0
0.4,0.001,0.0,0.27,0.001,0
0.0,0.299,0.001,0.002,0.0,0
0.2,0.0,0.1,0.0,0.0,0
0.4,0.0,0.001,0.27,0.001,0
0.001,0.4,0.001,0.0,0.0,0
0.0,0.299,0.002,0.0,0.0,0
0.201,0.001,0.101,0.001,0.0,0
0.201,0.0,0.1,0.001,0.0,0
0.001,0.399,0.0,0.0,0.001,0
0.27,0.001,0.001,0.001,0.0,0
0.001,0.3,0.002,0.001,0.001,0
0.401,0.003,0.0,0.27,0.0,0
0.202,0.001,0.1,0.0,0.001,0
0.2,0.001,0.1,0.0,0.0,0
0.0,0.299,0.0,0.001,0.001,0
0.0,0.299,0.001,0.001,0.0,0
0.0,0.3,0.0,0.0,0.0,0
0.2,0.001,0.10200000000000001,0.0,0.0,0
0.0,0.4,0.0,0.0,0.0,0
0.399,0.0,0.0,0.27,0.001,0
0.27,0.001,0.0,0.0,0.001,0
0.0,0.399,0.0,0.001,0.001,0
0.27,0.001,0.0,0.001,0.0,0
0.4,0.001,0.0,0.27,0.001,0
0.199,0.001,0.101,0.0,0.0,0
0.001,0.4,0.001,0.001,0.0,0
0.399,0.0,0.001,0.27,0.0,0
0.2,0.001,0.10200000000000001,0.0,0.001,0
0.201,0.0,0.098,0.0,0.001,0
0.201,0.0,0.101,0.001,0.0,0
0.0,0.3,0.001,0.001,0.0,0
0.201,0.001,0.1,0.0,0.001,0
0.0,0.299,0.001,0.0,0.001,0
0.0,0.4,0.0,0.0,0.001,0
0.2,0.0,0.101,0.0,0.0,0
0.001,0.299,0.001,0.001,0.001,0
0.202,0.001,0.1,0.001,0.001,0
0.0,0.299,0.002,0.002,0.0,0
0.201,0.0,0.099,0.0,0.0,0
0.0,0.299,0.001,0.0,0.001,0
0.2,0.002,0.1,0.0,0.0,0
0.0,0.299,0.001,0.001,0.001,0
0.201,0.001,0.099,0.0,0.0,0
0.0,0.401,0.0,0.001,0.0,0
0.0,0.3,0.001,0.001,0.0,0
0.269,0.0,0.0,0.001,0.001,0
0.202,0.0,0.101,0.001,0.0,0
0.001,0.4,0.002,0.001,0.0,0
0.0,0.4,0.0,0.0,0.002,0
0.001,0.4,0.001,0.0,0.0,0
0.399,0.0,0.0,0.271,0.001,0
0.199,0.0,0.10200000000000001,0.0,0.001,0
0.4,0.001,0.001,0.27,0.0,0
0.001,0.3,0.002,0.0,0.001,0
0.27,0.001,0.001,0.001,0.0,0
0.001,0.398,0.0,0.001,0.001,0
0.27,0.001,0.001,0.001,0.0,0
0.201,0.002,0.1,0.001,0.001,0
0.202,0.0,0.101,0.0,0.0,0
0.201,0.0,0.098,0.0,0.0,0
0.201,0.0,0.098,0.0,0.001,0
0.0,0.401,0.001,0.0,0.0,0
0.0,0.401,0.0,0.0,0.002,0
0.201,0.001,0.101,0.0,0.002,0
0.001,0.3,0.0,0.0,0.0,0
0.2,0.0,0.101,0.001,0.0,0
0.2,0.0,0.1,0.0,0.001,0
0.269,0.001,0.001,0.001,0.0,0
0.201,0.0,0.101,0.0,0.001,0
0.2,0.001,0.101,0.001,0.0,0
0.0,0.299,0.001,0.001,0.0,0
0.27,0.0,0.001,0.001,0.001,0
0.199,0.002,0.101,0.0,0.0,0
0.201,0.001,0.101,0.001,0.0,0
0.2,0.001,0.101,0.0,0.001,0
0.001,0.398,0.0,0.001,0.001,0
0.0,0.3,0.001,0.001,0.0,0
0.2,0.001,0.10300000000000001,0.0,0.002,0
0.27,0.001,0.001,0.002,0.0,0
0.0,0.3,0.002,0.001,0.0,0
0.001,0.3,0.001,0.001,0.001,0
0.002,0.398,0.0,0.001,0.001,0
0.0,0.301,0.0,0.0,0.0,0
0.2,0.001,0.101,0.0,0.0,0
0.401,0.003,0.0,0.27,0.002,0
0.202,0.001,0.101,0.0,0.0,0
0.269,0.001,0.0,0.0,0.001,0
0.0,0.299,0.0,0.001,0.0,0
0.2,0.001,0.10300000000000001,0.0,0.0,0
0.001,0.399,0.0,0.002,0.001,0
0.27,0.001,0.0,0.0,0.0,0
0.001,0.3,0.001,0.0,0.001,0
0.201,0.001,0.098,0.0,0.001,0
0.201,0.001,0.101,0.0,0.0,0
0.271,0.0,0.0,0.0,0.001,0
0.2,0.0,0.101,0.002,0.0,0
0.4,0.0,0.001,0.271,0.0,0
0.202,0.001,0.101,0.001,0.0,0
0.202,0.002,0.099,0.0,0.0,0
0.002,0.4,0.0,0.0,0.002,0
0.399,0.001,0.0,0.27,0.001,0
0.0,0.401,0.002,0.0,0.0,0
0.202,0.001,0.101,0.0,0.0,0
0.4,0.0,0.0,0.271,0.0,0
0.269,0.0,0.002,0.0,0.001,0
0.4,0.001,0.001,0.27,0.0,0
0.002,0.3,0.001,0.0,0.0,0
0.199,0.001,0.101,0.0,0.0,0
0.201,0.0,0.101,0.0,0.0,0
0.001,0.3,0.0,0.0,0.0,0
0.2,0.001,0.10300000000000001,0.001,0.002,0
0.198,0.001,0.10200000000000001,0.0,0.001,0
0.2,0.0,0.101,0.001,0.0,0
0.0,0.3,0.001,0.0,0.0,0
0.27,0.001,0.001,0.0,0.001,0
0.2,0.0,0.1,0.001,0.0,0
0.399,0.0,0.0,0.27,0.001,0
0.0,0.299,0.002,0.001,0.0,0
0.2,0.002,0.1,0.0,0.0,0
0.27,0.001,0.0,0.0,0.001,0
0.4,0.0,0.001,0.271,0.0,0
0.201,0.0,0.099,0.0,0.001,0
0.001,0.399,0.0,0.001,0.001,0
0.001,0.399,0.0,0.001,0.001,0
0.4,0.0,0.0,0.271,0.0,0
0.0,0.299,0.001,0.002,0.0,0
0.201,0.001,0.1,0.0,0.001,0
0.27,0.001,0.001,0.0,0.001,0
0.0,0.3,0.001,0.0,0.0,0
0.269,0.0,0.001,0.0,0.001,0
0.4,0.001,0.001,0.271,0.0,0
0.2,0.001,0.101,0.0,0.001,0
0.0,0.299,0.001,0.001,0.001,0
0.27,0.0,0.0,0.0,0.001,0
0.201,0.002,0.099,0.0,0.001,0
0.0,0.3,0.002,0.001,0.0,0
0.001,0.299,0.002,0.0,0.001,0
0.199,0.0,0.1,0.0,0.0,0
0.201,0.0,0.098,0.001,0.001,0
0.202,0.0,0.101,0.0,0.0,0
0.269,0.0,0.001,0.0,0.002,0
0.2,0.001,0.10200000000000001,0.001,0.002,0
0.401,0.003,0.001,0.27,0.0,0
0.269,0.0,0.0,0.002,0.001,0
0.199,0.002,0.101,0.0,0.0,0
0.269,0.0,0.001,0.001,0.001,0
0.27,0.001,0.001,0.001,0.001,0
0.201,0.001,0.10200000000000001,0.0,0.001,0
0.001,0.299,0.001,0.0,0.001,0
0.199,0.0,0.101,0.0,0.001,0
0.201,0.001,0.10200000000000001,0.0,0.0,0
0.401,0.003,0.0,0.271,0.002,0
0.401,0.003,0.0,0.27,0.003,0
0.001,0.4,0.001,0.0,0.002,0
0.001,0.3,0.001,0.001,0.0,0
0.001,0.3,0.001,0.001,0.001,0
0.202,0.0,0.099,0.0,0.0,0
0.2,0.001,0.101,0.001,0.0,0
0.4,0.0,0.0,0.27,0.001,0
0.201,0.001,0.10200000000000001,0.001,0.0,0
0.2,0.002,0.10200000000000001,0.0,0.001,0
0.0,0.298,0.001,0.001,0.001,0
0.202,0.0,0.099,0.0,0.001,0
0.001,0.299,0.0,0.002,0.0,0
0.0,0.4,0.0,0.0,0.002,0
0.2,0.002,0.1,0.001,0.0,0
0.399,0.0,0.0,0.27,0.001,0
0.0,0.3,0.0,0.0,0.0,0
0.199,0.001,0.10200000000000001,0.0,0.001,0
0.202,0.0,0.099,0.0,0.001,0
0.0,0.299,0.0,0.0,0.001,0
0.0,0.299,0.0,0.001,0.001,0
0.0,0.401,0.0,0.0,0.002,0
0.401,0.003,0.0,0.27,0.001,0
0.001,0.299,0.001,0.001,0.0,0
0.2,0.003,0.1,0.001,0.0,0
0.001,0.401,0.0,0.0,0.002,0
0.001,0.3,0.0,0.002,0.0,0
0.27,0.0,0.001,0.0,0.001,0
0.27,0.0,0.001,0.001,0.001,0
0.0,0.099,0.3,0.0,0.1,0
0.201,0.0,0.101,0.001,0.0,0
0.2,0.0,0.1,0.001,0.0,0
0.0,0.099,0.0,0.0,0.0,0
0.0,0.3,0.001,0.0,0.001,0
0.0,0.399,0.001,0.001,0.001,0
0.0,0.401,0.001,0.0,0.002,0
0.0,0.401,0.0,0.001,0.0,0
0.2,0.0,0.1,0.0,0.001,0
0.399,0.001,0.0,0.27,0.0,0
0.0,0.3,0.001,0.001,0.0,0
0.398,0.0,0.001,0.27,0.0,0
0.2,0.002,0.10200000000000001,0.0,0.0,0
0.2,0.0,0.10200000000000001,0.0,0.0,0
0.201,0.0,0.101,0.001,0.0,0
0.201,0.001,0.1,0.0,0.001,0
0.201,0.0,0.1,0.0,0.001,0
0.201,0.001,0.1,0.001,0.0,0
0.0,0.299,0.001,0.001,0.001,0
0.399,0.0,0.001,0.27,0.001,0
0.202,0.001,0.101,0.0,0.0,0
0.2,0.001,0.101,0.001,0.0,0
0.0,0.3,0.002,0.002,0.0,0
0.399,0.0,0.001,0.271,0.0,0
0.201,0.001,0.10200000000000001,0.0,0.0,0
0.401,0.001,0.0,0.27,0.0,0
0.0,0.401,0.003,0.0,0.0,0
0.198,0.0,0.101,0.0,0.001,0
0.0,0.3,0.002,0.001,0.001,0
0.0,0.301,0.001,0.001,0.0,0
0.001,0.299,0.0,0.002,0.0,0
0.0,0.3,0.002,0.0,0.001,0
0.27,0.0,0.0,0.0,0.002,0
0.202,0.001,0.101,0.0,0.001,0
0.0,0.399,0.0,0.0,0.002,0
0.269,0.001,0.001,0.001,0.001,0
0.001,0.299,0.001,0.002,0.0,0
0.001,0.4,0.0,0.001,0.0,0
0.198,0.0,0.10200000000000001,0.0,0.001,0
0.0,0.3,0.001,0.0,0.0,0
0.202,0.001,0.101,0.001,0.0,0
0.27,0.002,0.001,0.0,0.0,0
0.2,0.0,0.101,0.0,0.001,0
0.001,0.399,0.0,0.0,0.001,0
0.0,0.299,0.001,0.001,0.0,0
0.0,0.401,0.001,0.0,0.002,0
0.27,0.0,0.0,0.001,0.001,0
0.4,0.0,0.001,0.271,0.001,0
0.201,0.0,0.1,0.001,0.0,0
0.4,0.003,0.0,0.27,0.001,0
0.199,0.001,0.101,0.001,0.0,0
0.401,0.003,0.0,0.271,0.0,0
0.0,0.299,0.001,0.0,0.0,0
0.199,0.002,0.101,0.001,0.0,0
0.202,0.001,0.099,0.0,0.001,0
0.001,0.399,0.0,0.001,0.002,0
0.0,0.3,0.002,0.0,0.0,0
0.0,0.399,0.001,0.001,0.0,0
0.0,0.3,0.002,0.001,0.0,0
0.0,0.3,0.003,0.001,0.0,0
0.199,0.002,0.101,0.001,0.0,0
0.269,0.001,0.001,0.001,0.0,0
0.001,0.299,0.001,0.002,0.0,0
0.201,0.001,0.101,0.0,0.001,0
0.0,0.3,0.002,0.001,0.0,0
0.0,0.401,0.0,0.0,0.001,0
0.001,0.399,0.0,0.0,0.0,0
0.0,0.3,0.001,0.0,0.0,0
0.27,0.001,0.0,0.0,0.002,0
0.201,0.001,0.1,0.001,0.001,0
0.0,0.3,0.001,0.001,0.0,0
0.001,0.299,0.001,0.001,0.002,0
0.0,0.401,0.001,0.0,0.0,0
0.2,0.0,0.1,0.0,0.0,0
0.201,0.001,0.099,0.0,0.001,0
0.0,0.229,0.0,0.0,0.0,0
0.401,0.003,0.0,0.27,0.002,0
0.001,0.398,0.0,0.001,0.001,0
0.0,0.402,0.0,0.0,0.0,0
0.269,0.0,0.002,0.0,0.001,0
0.201,0.0,0.1,0.001,0.001,0
0.27,0.001,0.0,0.0,0.001,0
0.0,0.299,0.001,0.001,0.0,0
0.401,0.003,0.0,0.271,0.001,0
0.001,0.3,0.001,0.0,0.001,0
0.201,0.002,0.101,0.0,0.0,0
0.0,0.299,0.0,0.001,0.0,0
0.402,0.002,0.0,0.271,0.0,0
0.001,0.3,0.001,0.0,0.001,0
0.0,0.3,0.002,0.0,0.0,0
0.0,0.299,0.002,0.001,0.0,0
0.001,0.299,0.001,0.002,0.001,0
0.27,0.001,0.001,0.001,0.001,0
0.001,0.099,0.3,0.0,0.1,0
0.401,0.003,0.0,0.27,0.002,0
0.2,0.002,0.10200000000000001,0.0,0.0,0
0.2,0.0,0.1,0.001,0.001,0
0.27,0.001,0.0,0.0,0.002,0
0.201,0.002,0.1,0.0,0.0,0
0.201,0.001,0.101,0.0,0.0,0
0.001,0.399,0.0,0.0,0.002,0
0.2,0.001,0.10300000000000001,0.0,0.001,0
0.2,0.002,0.1,0.001,0.0,0
0.2,0.001,0.101,0.001,0.0,0
0.202,0.001,0.101,0.0,0.0,0
0.001,0.3,0.0,0.0,0.001,0
0.27,0.0,0.001,0.002,0.001,0
0.001,0.399,0.0,0.0,0.002,0
0.0,0.4,0.0,0.0,0.001,0
0.27,0.002,0.001,0.001,0.001,0
0.201,0.002,0.1,0.001,0.0,0
0.2,0.001,0.098,0.0,0.001,0
0.198,0.001,0.10200000000000001,0.0,0.002,0
0.401,0.003,0.001,0.27,0.002,0
0.0,0.301,0.0,0.0,0.0,0
0.001,0.3,0.001,0.001,0.001,0
0.0,0.401,0.0,0.0,0.002,0
0.201,0.0,0.101,0.001,0.0,0
0.202,0.001,0.099,0.0,0.0,0
0.401,0.004,0.0,0.271,0.0,0
0.0,0.402,0.001,0.0,0.0,0
0.2,0.0,0.101,0.001,0.0,0
0.2,0.001,0.10200000000000001,0.001,0.0,0
0.202,0.001,0.099,0.0,0.001,0
0.0,0.401,0.0,0.001,0.001,0
0.003,0.4,0.0,0.0,0.002,0
0.199,0.001,0.1,0.0,0.0,0
0.2,0.001,0.101,0.001,0.0,0
0.0,0.402,0.0,0.0,0.002,0
0.2,0.003,0.1,0.0,0.0,0
0.401,0.004,0.001,0.27,0.002,0
0.201,0.0,0.099,0.001,0.001,0
0.201,0.0,0.099,0.0,0.001,0
0.0,0.3,0.003,0.0,0.0,0
0.203,0.001,0.1,0.0,0.0,0
0.201,0.001,0.099,0.0,0.001,0
0.001,0.3,0.002,0.002,0.001,0
0.27,0.001,0.001,0.001,0.002,0
0.399,0.0,0.0,0.27,0.0,0
0.0,0.3,0.0,0.001,0.0,0
0.402,0.004,0.001,0.27,0.002,0
0.001,0.299,0.001,0.001,0.0,0
0.0,0.299,0.001,0.001,0.0,0
0.198,0.0,0.10200000000000001,0.0,0.001,0
0.201,0.0,0.098,0.001,0.001,0
0.27,0.0,0.002,0.001,0.001,0
0.401,0.002,0.0,0.271,0.002,0
0.001,0.4,0.0,0.0,0.002,0
0.2,0.0,0.101,0.0,0.001,0
0.201,0.002,0.099,0.0,0.001,0
0.0,0.299,0.0,0.0,0.0,0
0.27,0.001,0.001,0.001,0.0,0
0.0,0.401,0.001,0.0,0.0,0
0.0,0.4,0.0,0.001,0.0,0
0.0,0.3,0.0,0.001,0.001,0
0.2,0.001,0.098,0.0,0.002,0
0.0,0.299,0.0,0.0,0.001,0
0.0,0.401,0.0,0.002,0.001,0
0.0,0.401,0.001,0.0,0.0,0
0.001,0.3,0.0,0.003,0.0,0
0.0,0.3,0.0,0.0,0.001,0
0.2,0.0,0.101,0.001,0.0,0
0.0,0.401,0.0,0.001,0.001,0
0.201,0.001,0.10200000000000001,0.0,0.001,0
0.0,0.402,0.0,0.0,0.001,0
0.0,0.399,0.0,0.0,0.001,0
0.271,0.0,0.001,0.0,0.001,0
0.199,0.0,0.101,0.0,0.001,0
0.269,0.001,0.001,0.0,0.0,0
0.2,0.002,0.101,0.001,0.0,0
0.201,0.001,0.1,0.0,0.001,0
0.0,0.299,0.001,0.002,0.001,0
0.002,0.399,0.0,0.0,0.002,0
0.201,0.0,0.1,0.001,0.0,0
0.27,0.001,0.0,0.0,0.001,0
0.201,0.001,0.1,0.0,0.001,0
0.201,0.001,0.1,0.0,0.0,0
0.0,0.4,0.0,0.0,0.0,0
0.201,0.002,0.099,0.0,0.0,0
0.201,0.001,0.099,0.001,0.0,0
0.401,0.002,0.001,0.27,0.0,0
0.0,0.401,0.001,0.0,0.0,0
0.002,0.398,0.001,0.001,0.001,0
0.001,0.4,0.0,0.001,0.001,0
0.4,0.001,0.001,0.27,0.001,0
0.201,0.001,0.1,0.0,0.0,0
0.0,0.402,0.0,0.0,0.001,0
0.4,0.0,0.002,0.27,0.001,0
0.198,0.001,0.10200000000000001,0.0,0.001,0
0.198,0.002,0.101,0.001,0.0,0
0.2,0.002,0.101,0.0,0.0,0
0.0,0.401,0.001,0.001,0.0,0
0.0,0.4,0.001,0.0,0.0,0
0.402,0.004,0.001,0.27,0.002,0
0.0,0.299,0.003,0.001,0.0,0
0.201,0.0,0.099,0.0,0.001,0
0.401,0.003,0.001,0.27,0.002,0
0.0,0.4,0.001,0.001,0.0,0
0.401,0.0,0.001,0.271,0.0,0
0.4,0.002,0.0,0.271,0.0,0
0.4,0.001,0.0,0.27,0.001,0
0.0,0.3,0.001,0.001,0.0,0
0.0,0.299,0.002,0.001,0.0,0
0.27,0.002,0.001,0.001,0.0,0
0.27,0.0,0.0,0.0,0.001,0
0.401,0.001,0.001,0.27,0.0,0
0.0,0.299,0.002,0.001,0.001,0
0.271,0.0,0.0,0.0,0.002,0
0.001,0.3,0.0,0.001,0.0,0
0.0,0.4,0.001,0.002,0.0,0
0.199,0.0,0.101,0.0,0.001,0
0.201,0.002,0.099,0.0,0.001,0
0.198,0.0,0.101,0.0,0.0,0
0.401,0.003,0.0,0.271,0.001,0
0.0,0.3,0.001,0.0,0.002,0
0.0,0.401,0.001,0.0,0.002,0
0.201,0.001,0.101,0.0,0.0,0
0.269,0.001,0.001,0.0,0.001,0
0.0,0.299,0.001,0.001,0.001,0
0.201,0.001,0.101,0.0,0.001,0
0.201,0.0,0.098,0.0,0.001,0
0.0,0.401,0.0,0.0,0.0,0
0.001,0.3,0.001,0.001,0.002,0
0.001,0.4,0.0,0.001,0.001,0
0.0,0.299,0.001,0.001,0.001,0
0.4,0.002,0.001,0.27,0.001,0
0.0,0.3,0.001,0.0,0.001,0
0.201,0.0,0.099,0.001,0.0,0
0.201,0.001,0.1,0.001,0.001,0
0.2,0.002,0.10300000000000001,0.0,0.001,0
0.202,0.0,0.101,0.001,0.0,0
0.201,0.0,0.098,0.001,0.0,0
0.203,0.001,0.101,0.001,0.0,0
0.199,0.001,0.101,0.001,0.0,0
0.001,0.3,0.001,0.0,0.0,0
0.401,0.004,0.001,0.27,0.002,0
0.202,0.0,0.1,0.001,0.001,0
0.001,0.3,0.002,0.001,0.001,0
0.402,0.002,0.0,0.271,0.001,0
0.201,0.001,0.10300000000000001,0.0,0.001,0
0.269,0.001,0.001,0.001,0.0,0
0.001,0.299,0.001,0.001,0.001,0
0.001,0.399,0.0,0.001,0.001,0
0.002,0.299,0.001,0.001,0.0,0
0.001,0.299,0.001,0.001,0.002,0
0.001,0.399,0.0,0.001,0.001,0
0.201,0.001,0.101,0.001,0.002,0
0.0,0.299,0.001,0.0,0.002,0
0.4,0.002,0.0,0.27,0.0,0
0.4,0.001,0.0,0.269,0.001,0
0.27,0.001,0.001,0.001,0.001,0
0.001,0.401,0.0,0.0,0.001,0
0.002,0.3,0.0,0.0,0.001,0
0.402,0.002,0.0,0.272,0.0,0
0.0,0.299,0.0,0.0,0.0,0
0.271,0.001,0.0,0.0,0.002,0
0.202,0.001,0.101,0.0,0.001,0
0.0,0.4,0.001,0.001,0.001,0
0.001,0.3,0.0,0.003,0.001,0
0.271,0.0,0.0,0.001,0.001,0
0.199,0.0,0.1,0.001,0.001,0
0.0,0.3,0.0,0.001,0.0,0
0.0,0.299,0.001,0.001,0.0,0
0.2,0.003,0.1,0.0,0.001,0
0.0,0.3,0.0,0.001,0.001,0
0.201,0.001,0.099,0.001,0.001,0
0.0,0.401,0.001,0.001,0.002,0
0.201,0.001,0.101,0.0,0.0,0
0.401,0.003,0.001,0.271,0.0,0
0.001,0.298,0.001,0.001,0.001,0
0.001,0.3,0.002,0.001,0.0,0
0.27,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.271,0.001,0
0.202,0.0,0.101,0.001,0.001,0
0.201,0.002,0.099,0.001,0.001,0
0.402,0.001,0.001,0.27,0.0,0
0.0,0.401,0.0,0.001,0.001,0
0.199,0.001,0.10300000000000001,0.001,0.002,0
0.202,0.001,0.099,0.001,0.0,0
0.001,0.3,0.002,0.002,0.0,0
0.0,0.299,0.002,0.002,0.001,0
0.202,0.001,0.099,0.0,0.001,0
0.001,0.299,0.002,0.001,0.001,0
0.201,0.001,0.099,0.0,0.001,0
0.001,0.299,0.0,0.0,0.0,0
0.202,0.0,0.099,0.0,0.0,0
0.201,0.0,0.1,0.0,0.0,0
0.0,0.401,0.0,0.002,0.001,0
0.401,0.001,0.001,0.271,0.0,0
0.2,0.001,0.10200000000000001,0.0,0.002,0
0.27,0.001,0.001,0.001,0.002,0
0.2,0.002,0.101,0.0,0.001,0
0.0,0.399,0.0,0.0,0.001,0
0.001,0.4,0.002,0.0,0.002,0
0.201,0.001,0.1,0.001,0.001,0
0.27,0.001,0.001,0.001,0.0,0
0.001,0.398,0.0,0.001,0.0,0
0.2,0.001,0.097,0.0,0.002,0
0.201,0.0,0.099,0.0,0.001,0
0.399,0.0,0.001,0.27,0.002,0
0.201,0.001,0.1,0.0,0.001,0
0.2,0.001,0.1,0.0,0.0,0
0.0,0.3,0.0,0.0,0.001,0
0.268,0.001,0.001,0.001,0.0,0
0.27,0.001,0.0,0.0,0.001,0
0.0,0.3,0.002,0.001,0.002,0
0.199,0.001,0.101,0.0,0.001,0
0.0,0.3,0.002,0.0,0.0,0
0.201,0.001,0.1,0.001,0.0,0
0.2,0.002,0.10200000000000001,0.0,0.001,0
0.001,0.3,0.002,0.002,0.0,0
0.201,0.001,0.099,0.001,0.0,0
0.2,0.0,0.10200000000000001,0.0,0.001,0
0.402,0.001,0.0,0.27,0.0,0
0.199,0.002,0.101,0.001,0.0,0
0.0,0.3,0.001,0.0,0.003,0
0.2,0.001,0.1,0.0,0.001,0
0.401,0.003,0.0,0.27,0.0,0
0.0,0.301,0.002,0.001,0.0,0
0.2,0.002,0.101,0.0,0.001,0
