A1,A2,B1,B2,C1,C2,TOEFL,IELTS,SAT,userLevelByHuman
0.74,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.65,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.73,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.57,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.67,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.73,0.15,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.7,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.47,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.619,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.56,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0
0.701,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.621,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.57,0.1,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0
0.47,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.27,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.5,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.3,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.53,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.47,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.1,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.1,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0
0.47,0.23,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.619,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.47,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.6,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.33,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.72,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.63,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.47,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.6,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0
0.67,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0
0.33,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.67,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0
0.62,0.15,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.5,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.099,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0
0.55,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.7,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0
0.599,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.47,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0
0.67,0.2,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.0,0.2,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.67,0.2,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.7,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.6,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0
0.4,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0
0.6,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0
0.4,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0
0.7,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.35,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0
0.47,0.231,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.529,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0
0.27,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.5,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.63,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0
0.7,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.699,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.27,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.63,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0
0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.499,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0
0.67,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0
0.599,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.67,0.2,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0
0.2,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.47,0.23,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.101,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.62,0.15,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0
0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0
0.67,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0
0.55,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.72,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.47,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0
0.6,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0
0.27,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.27,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.53,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.62,0.15,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0
0.6,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.8,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.531,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.53,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0
0.8,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0
0.47,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0
0.62,0.15,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0
0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.63,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0
0.401,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.7,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0
0.3,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.5,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.47,0.231,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.6,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0
0.35,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.33,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0
0.7,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0
0.62,0.15,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0
0.0,0.17,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.599,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.27,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.001,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.67,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.6,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0
0.62,0.15,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0
0.399,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0
0.73,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.5,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0
0.3,0.001,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0
0.4,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.529,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0
0.7,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0
0.599,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0
0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.27,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.6,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0
0.63,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.62,0.151,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0
0.3,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.618,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.1,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0
0.7,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0
0.55,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0
0.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0
0.5,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.47,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0
0.62,0.151,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0
0.1,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0
0.67,0.199,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0
0.4,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.73,0.15,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.6,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0
0.47,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0
0.47,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.001,0
0.5,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0
0.649,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.5,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0
0.72,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.3,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.1,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0
0.67,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.7,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.5,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0
0.25,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.27,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0
0.249,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.47,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0
0.601,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0
0.53,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0
0.269,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.529,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0
0.7,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.53,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0
0.53,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0
0.5,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0
0.33,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0
0.4,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0
0.699,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
0.25,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0
0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0
0.1,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0
0.27,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0
0.4,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
